date,code,close,high,low,open,p_change,turnover,volume,t_volue
2011/6/1,'002230,37.05,37.2,36.66,37.16,-0.5903,0.2648,638393,9339462150
2011/6/2,'002230,35.98,36.9,35.78,36.7,-2.888,0.4274,1030441,9069739491
2011/6/3,'002230,36.52,36.9,35.55,36,1.5008,0.4912,1184334,9205861207
2011/6/7,'002230,36.97,37.2,36.14,36.6,1.2322,0.3007,725068,9319295969
2011/6/8,'002230,37,37.38,36.51,36.51,0.0811,0.4081,983975,9326858287
2011/6/9,'002230,38.3,40,36.8,37,3.5135,1.1929,2876325,9654558713
2011/6/10,'002230,37.7,39.13,37.25,38.25,-1.5666,0.5593,1348706,9503312363
2011/6/13,'002230,37.3,37.5,36.82,37.16,-1.061,0.254,612448,9402481462
2011/6/14,'002230,38.05,38.57,37.07,37.3,2.0107,0.5227,1260261,9591539401
2011/6/15,'002230,38.79,39.85,37.81,38,1.9448,0.6775,1633558,9778076566
2011/6/16,'002230,38.18,38.77,38.03,38.03,-1.5726,0.2296,553597,9624309443
2011/6/17,'002230,36.9,38.68,36.88,37.9,-3.3525,0.3428,826663,9301650562
2011/6/20,'002230,36.09,36.71,35.83,36.66,-2.1951,0.4511,1087675,9097467989
2011/6/21,'002230,36.79,37.15,36.04,36.41,1.9396,0.3673,885718,9273922064
2011/6/22,'002230,36.5,36.98,36.35,36.82,-0.7883,0.2303,555340,9200819662
2011/6/23,'002230,37.07,37.25,36.03,36.3,1.5616,0.4406,1062308,9344503695
2011/6/24,'002230,38,38.36,36.91,37.09,2.5088,0.6119,1475534,9578935538
2011/6/27,'002230,39,39.87,37.91,38,2.6316,0.7024,1693744,9831012789
2011/6/28,'002230,39.31,40.3,38.76,39,0.7949,0.555,1338175,9909156737
2011/6/29,'002230,39,39.83,38.9,39.83,-0.7886,0.3866,932156,9831012789
2011/6/30,'002230,40.5,40.56,38.72,38.72,3.8462,0.7483,1804430,10209128666
2011/7/1,'002230,40.12,40.7,40.01,40.5,-0.9383,0.426,1027164,10113339310
2011/7/4,'002230,40.85,41,39.87,40.12,1.8195,0.5141,1239553,10297355703
2011/7/5,'002230,40.86,41.06,40.5,40.8,0.0245,0.3783,912143,10299876476
2011/7/6,'002230,41.33,41.88,39.99,40.86,1.1503,0.6907,1665469,10418352784
2011/7/7,'002230,43.7,45.18,41.4,41.4,5.7343,1.559,3759216,11015775869
2011/7/8,'002230,43.47,43.95,43.11,43.7,-0.5263,0.4048,976030,10957798101
2011/7/11,'002230,44.2,44.77,43.01,43.21,1.6793,0.6211,1497697,11141814494
2011/7/12,'002230,43.91,45.07,43.68,43.68,-0.6561,0.5734,1382495,11068712091
2011/7/13,'002230,44.7,45,43.8,44,1.7991,0.5048,1217280,11267853120
2011/7/14,'002230,44.35,45.05,43.83,44.71,-0.783,0.5195,1252654,11179626082
2011/7/15,'002230,44,44.68,43.4,44.35,-0.7892,0.6394,1541643,11091399044
2011/7/18,'002230,43.44,44.27,43.43,44.2,-1.2727,0.6092,1468890,10950235783
